# P = 4611686018427387847
# n p(n) distinct symmetric pairs collisions digest
0 1 1 1 0 0 1
1 1 1 1 0 0 8
2 2 1 0 1 0 114
3 3 2 1 1 0 1599
4 5 3 1 2 0 27984
5 7 4 1 3 0 509299
6 11 6 1 5 0 10420778
7 15 8 1 7 0 222673081
8 22 12 2 10 0 5132948493
9 30 16 2 14 0 123216952035
10 42 22 2 20 0 3126121145119
11 56 29 2 27 0 82258592213189
12 77 40 3 37 0 2260777478569792
13 101 52 3 49 0 64193220597644211
14 135 69 3 66 0 1889461243875258832
15 176 90 4 86 0 1922380254048901066
16 231 118 5 113 0 253782084553675067
17 297 151 5 146 0 782242614682088541
18 385 195 5 190 0 1366789721461295938
19 490 248 6 242 0 980673295229921428
20 627 317 7 310 0 153595446687144644
21 792 400 8 392 0 2612124295990993999
22 1002 505 8 497 0 4137303757666792966
23 1255 632 9 623 0 2923357015930291716
24 1575 793 11 782 0 2172383234526650221
25 1958 985 12 973 0 3917110752835956662
26 2436 1224 12 1212 0 817546140828472596
27 3010 1512 14 1498 0 3072667576723913029
28 3718 1867 16 1851 0 743629451473444294
29 4565 2291 17 2274 0 1764895603488665249
30 5604 2811 18 2793 0 4356738760194572270
31 6842 3431 20 3411 0 4249604178497141255
32 8349 4186 23 4163 0 1258036772926674637
33 10143 5084 25 5059 0 30506059974620293
34 12310 6168 26 6142 0 1821912009401706480
35 14883 7456 29 7427 0 263282813787709367
36 17977 9005 33 8972 0 249656940939893742
37 21637 10836 35 10801 0 142963992105577905
38 26015 13026 37 12989 0 4413398578742423583
39 31185 15613 41 15572 0 611238653838656554
40 37338 18692 46 18646 0 3560041366614413837
41 44583 22316 49 22267 0 3971716293872676981
42 53174 26613 52 26561 0 4151255761955587527
43 63261 31659 57 31602 0 777231972834940325
44 75175 37619 63 37556 0 3984295110983164993
45 89134 44601 68 44533 0 2227327825983355060
46 105558 52815 72 52743 0 2621339841616889200
47 124754 62416 78 62338 0 2355335296247794510
48 147273 73680 87 73593 0 4000113170867080843
49 173525 86809 93 86716 0 2352045028992904651
50 204226 102162 98 102064 0 1874755293783312616
51 239943 120025 107 119918 0 2987442299986290539
52 281589 140853 117 140736 0 3035362990868386772
53 329931 165028 125 164903 0 178909998874901499
54 386155 193144 133 193011 0 4232274020615532455
55 451276 225710 144 225566 0 4606909775476716336
56 526823 263490 157 263333 0 1656586460396897164
57 614154 307161 168 306993 0 1868754896718449065
58 715220 357699 178 357521 0 2771081159938282400
59 831820 416006 192 415814 0 3517104647711087940
60 966467 483338 209 483129 0 3236116686553404291
61 1121505 560864 223 560641 0 419031964594844301
62 1300156 650196 236 649960 0 3406936211850854445
63 1505499 752877 255 752622 0 4409819258393156970
64 1741630 870953 276 870677 0 1864964715188544284
65 2012558 1006426 294 1006132 0 3200589193502650307
66 2323520 1161916 312 1161604 0 307504654758927463
67 2679689 1340012 335 1339677 0 3871595486754385440
68 3087735 1544048 361 1543687 0 3353016049883502863
69 3554345 1777365 385 1776980 0 2289973450914919881
70 4087968 2044188 408 2043780 0 1564104589018922104
71 4697205 2348821 437 2348384 0 421970837243755148
72 5392783 2696627 471 2696156 0 3655004087915823419
73 6185689 3093095 501 3092594 0 240494522641953229
74 7089500 3545015 530 3544485 0 1930063749800206708
75 8118264 4059416 568 4058848 0 683211258873346149
